id,str_resource,str_description,website,see_also_url,meta_title,meta_description,stage_list,task_list,category,college,college_display,stage_list_facet,task_list_facet
55,Strategic External Partnerships,"The University of Maryland engages in strategic partnerships with a variety of external organizations. Research and innovation generated through partnerships between academia, industry and government can help solve national and international challenges and spur economic development.",http://research.umd.edu/partnerships,,Conduct your research with one of the university's existing partners,"partner,laboratory,instrument,facility,industry,government",Develop your research idea;Fund your research;Perform your research,"Build a team;Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument","Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"102::Build a team;103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
30,UMD Strategic Plan,"The strategic plan sets forth a vision of the University as an institution unmatched in its capacity to attract talent, address the most important issues of our time, and produce the leaders of tomorrow. An important aspect of this is the development and advancement of research and innovation.",https://www.umd.edu/strategic-plan,,Learn about University research priorities,"strategic plan,research priorities,feasibility,vision",Develop your research idea,Develop and evaluate a research idea,"Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea,101::Develop and evaluate a research idea
32,Roles and Responsibilities,"Submitting proposals, conducting research, and administrating sponsored projects involves many different people and units throughout the University of Maryland campus. While there may be some minor variations in processes from department to department and college to college, this page outlines the general process and identifies the appropriate party that has primary responsibility for different activities throughout the life cycle of a sponsored award.",http://ora.umd.edu/about/roles,,Identify and communicate with stakeholders,"proposal,award,perform research,manage project,administer award,responsibilities,audit,reports,close-out,financial,invoice",Develop your research idea;Fund your research;Manage your project;Close out your project,Develop and evaluate a research idea;Develop your proposal;Manage an award;Close subawards,"Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;5::Close out your project,101::Develop and evaluate a research idea;207::Develop your proposal;301::Manage an award;502::Close subawards
34,Expertise@MD Database,"The Expertise@MD database assists UM faculty and staff identify faculty expertise for research and scholarly collaboration. This search index was created primarily by indexing many recent papers written by faculty members. Additionally, some database fields from FAR were indexed.",http://expertise.umd.edu/home.jsf,,Connect with UMD experts across campus,"collaborate,expert,expertise,UMCP faculty",Develop your research idea,Build a team,"Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea,102::Build a team
86,Discovery Portfolio,Search existing intellectual property held by the University of Maryland to find others working on similar research or to identify areas where further research is warranted.  Use this information to assess the merit of your research idea.,http://www.umventures.org/search/site,,Search existing UMD technology and intellectual property,"evaluate research idea,existing intellectual property,technology,OTC",Develop your research idea,Develop and evaluate a research idea,"Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea,101::Develop and evaluate a research idea
75,IT Colocation Services,Reliable and secure data center facilities are available for IT hardware colocation use by college and departmental IT units and researchers. Equipment owners provide their own technical support. Accommodations are made for both remote and physical access to equipment.,https://umd.service-now.com/itsc?id=service&sys_id=04324d7f3708c20041271f9543990e32&table=service_offering,,Colocate your IT systems in DIT facilities,"colocation,server support,rack monitoring",Develop your research idea;Fund your research;Manage your project,Plan for data collection and management;Plan for data management and IT infrastructure;Acquire equipment and software,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project,104::Plan for data collection and management;204::Plan for data management and IT infrastructure;304::Acquire equipment and software
69,IT Consultations,"Need a customized hardware, software, storage and backup, or online solution for your research project?  Speak with one of our IT professionals to set you on the right path toward maximizing your resources and utilizing the IT infrastructure that the University offers. We can help you develop a plan for your proposal, estimate costs for budgets, plan for data access and security concerns, and connect you with the resources you need to complete your research.",https://umd.service-now.com/itsc?id=sc_category&sys_id=facec5786f96e20051281ecbbb3ee465&filter=all&t=so,,"Talk to an expert about customized hardware, software, storage and backup, or online solution for your research project","hardware,software,storage and backup,website,hosting,computational cluster,data access,security planning",Develop your research idea;Fund your research;Manage your project;Perform your research,Plan for data collection and management;Plan for data management and IT infrastructure;Acquire equipment and software;Get data management assistance;Get high performance computing support;Find a laboratory or instrument,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,104::Plan for data collection and management;204::Plan for data management and IT infrastructure;304::Acquire equipment and software;305::Get data management assistance;306::Get high performance computing support;401::Find a laboratory or instrument
12,Research Data Services,"Our professionals provide expert guidance, project consultation, and technical assistance on various aspects of data curation, especially creating and disseminating open data, code, and other research products. You can consult us about data governance issues, documentation and metadata, data sharing and publishing, long-term archiving, and related topics. In some cases, we can perform pre-dissemination cleaning, transformation, and integration. In addition, we can help with data management or data sharing plans for funding agencies and journals.",https://www.lib.umd.edu/data,,Get help creating and disseminating open data - from planning to execution,"data management,data plan,data sharing,data publishing,code documentation,data storage,distribute research,data archiving,open data,publish,data management plan,data preservation,DMP",Develop your research idea;Fund your research;Manage your project;Perform your research;Close out your project;Communicate and disseminate results,Plan for data collection and management;Plan for data management and IT infrastructure;Get data management assistance;Manage your data;Archive and disseminate data;Archive and disseminate data,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research;5::Close out your project;6::Communicate and disseminate results,104::Plan for data collection and management;204::Plan for data management and IT infrastructure;305::Get data management assistance;403::Manage your data;503::Archive and disseminate data;606::Archive and disseminate data
25,Statistical Consulting,"Statistical consulting is free to all members of the UMD research community (undergraduate and graduate students, faculty, staff), in all departments and disciplines. Research is increasingly data-driven, and we are available to answer your statistics and analysis questions through email or an in-person consultation. We currently specialize in SAS, SPSS, R, and can also provide support on Survey Design and Analysis.",http://www.lib.umd.edu/rc/statistical-consulting,,Get help with statistics and data analysis questions,"statistics,data analysis,survey design,survey sampling method,questionnaire design,data sources,merging data,importing data,statistical methodology,data manipulation,interpretation of results,R,SAS,SPSS",Develop your research idea;Perform your research;Close out your project;Communicate and disseminate results,"Plan for data collection and management;Acquire, collect or generate data;Explore and analyze data;Develop manuscript for publication",Technology Services,UMCP,Campuswide,1::Develop your research idea;4::Perform your research;5::Close out your project;6::Communicate and disseminate results,"104::Plan for data collection and management;402::Acquire, collect or generate data;404::Explore and analyze data;601::Develop manuscript for publication"
41,Storage Architecture,Need to include infrastructure information about UMD storage architecture in your research proposal?  Find out more about the resources available to University researchers.,https://umd.service-now.com/itsc?id=sc_category&sys_id=bae3fe946fcbe20051281ecbbb3ee425&filter=all&t=sc,,Include storage and backup architecture in your research proposal,"storage,backup,proposal",Develop your research idea,Plan for data collection and management,Technology Services,UMCP,Campuswide,1::Develop your research idea,104::Plan for data collection and management
